# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018, 2022)
# Atmospheric transmittance spectrum synthesized with PUMAS
# Synthesized on Thu Apr 10 16:34:26 2025
# Radiative transfer took 0.916 seconds
# Spectral unit: Wavelength [um]
# ------------------------------------------------------------------------
# Wave/freq Total CO2 N2 CO O2 SO2 H2O O3  Rayleigh CIA
6.384208035e-01 4.29228e-03 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.98709e-01 9.99999e-01 4.29785e-03 9.99993e-01
6.416129075e-01 4.77752e-03 9.99549e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.98619e-01 9.99999e-01 4.78631e-03 9.99993e-01
6.448209720e-01 5.28697e-03 9.98369e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.95609e-01 9.99999e-01 5.31895e-03 9.99972e-01
6.480450769e-01 5.84295e-03 9.99773e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.90901e-01 9.99999e-01 5.89857e-03 9.99886e-01
6.512853022e-01 6.45861e-03 9.96027e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.93412e-01 9.99999e-01 6.52800e-03 9.99885e-01
6.545417288e-01 7.10035e-03 9.90478e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.94269e-01 9.99999e-01 7.21014e-03 9.99912e-01
6.578144374e-01 7.77108e-03 9.84043e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.93609e-01 9.99999e-01 7.94794e-03 9.99958e-01
6.611035096e-01 8.63747e-03 9.91223e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.96512e-01 9.99999e-01 8.74439e-03 9.99990e-01
6.644090271e-01 9.53699e-03 9.95376e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.97787e-01 9.99999e-01 9.60253e-03 9.99995e-01
6.677310723e-01 1.05079e-02 9.99345e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.98986e-01 9.99999e-01 1.05254e-02 9.99998e-01
6.710697276e-01 1.15015e-02 9.99212e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99517e-01 9.99999e-01 1.15161e-02 9.99999e-01
6.744250763e-01 1.25741e-02 9.99952e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99770e-01 9.99999e-01 1.25776e-02 9.99999e-01
6.777972017e-01 1.37102e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99784e-01 9.99999e-01 1.37131e-02 9.99999e-01
6.811861877e-01 1.49162e-02 9.99860e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99511e-01 9.99999e-01 1.49256e-02 9.99997e-01
6.845921186e-01 1.61846e-02 9.98482e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99451e-01 9.99999e-01 1.62182e-02 9.99994e-01
6.880150792e-01 1.75790e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99170e-01 9.99999e-01 1.75937e-02 9.99991e-01
6.914551546e-01 1.87900e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.86143e-01 9.99999e-01 1.90553e-02 9.99931e-01
6.949124304e-01 2.01889e-02 9.99465e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.80534e-01 9.99999e-01 2.06059e-02 9.99738e-01
6.983869925e-01 2.20031e-02 9.98418e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.90731e-01 9.99999e-01 2.22481e-02 9.99759e-01
7.018789275e-01 2.35913e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.83805e-01 9.99999e-01 2.39849e-02 9.99776e-01
7.053883221e-01 2.54631e-02 9.99935e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.86403e-01 9.99999e-01 2.58190e-02 9.99874e-01
7.089152637e-01 2.71258e-02 9.90196e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.87061e-01 9.99999e-01 2.77528e-02 9.99936e-01
7.124598400e-01 2.86091e-02 9.73610e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.86418e-01 9.99999e-01 2.97890e-02 9.99936e-01
7.160221392e-01 2.70421e-02 9.35439e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.01409e-01 9.99999e-01 3.19298e-02 9.99628e-01
